"weight";"lat";"lon"
"20";"34.036";"-118.479"
"20";"34.016";"-118.518"
"20";"33.906";"-118.548"
"20";"34.036";"-118.439"
"20";"33.916";"-118.499"
"20";"33.646";"-118.319"
"20";"33.806";"-118.339"
"20";"34.256";"-118.628"
"20";"34.216";"-118.469"
"20";"33.855";"-118.518"
"20";"34.416";"-118.669"
"20";"34.065";"-118.439"
"20";"33.955";"-118.419"
"20";"34.425";"-118.669"
"20";"33.925";"-118.598"
"20";"33.925";"-118.609"
"20";"33.936";"-118.658"
"20";"33.936";"-118.569"
"19";"34.196";"-118.499"
"19";"33.936";"-118.679"
"19";"33.936";"-118.559"
"19";"33.925";"-118.569"
"19";"33.646";"-118.219"
"19";"34.196";"-118.589"
"19";"33.916";"-118.719"
"19";"34.216";"-118.488"
"19";"34.275";"-118.639"
"19";"34.046";"-118.408"
"19";"33.925";"-118.839"
"19";"33.946";"-118.628"
"19";"34.126";"-118.399"
"19";"34.205";"-118.449"
"19";"33.925";"-118.539"
"19";"34.326";"-118.499"
"19";"34.175";"-118.479"
"19";"33.916";"-118.389"
"19";"33.955";"-118.378"
"18";"34.126";"-118.408"
"18";"33.995";"-118.429"
"18";"33.925";"-118.589"
"18";"33.925";"-118.548"
"18";"33.796";"-118.319"
"18";"34.396";"-118.658"
"18";"33.826";"-118.169"
"18";"33.925";"-118.628"
"18";"34.196";"-118.598"
"18";"34.385";"-118.658"
"18";"33.796";"-118.339"
"18";"34.466";"-118.449"
"18";"34.046";"-118.479"
"18";"33.866";"-118.559"
"18";"34.205";"-118.429"
"18";"33.925";"-118.639"
"18";"33.775";"-118.298"
"18";"33.976";"-118.419"
"18";"33.896";"-118.479"
"18";"34.025";"-118.449"
"18";"33.885";"-118.359"
"18";"33.846";"-118.548"
"18";"33.786";"-118.309"
"18";"34.146";"-118.458"
"17";"34.046";"-118.439"
"17";"34.205";"-118.639"
"17";"34.135";"-118.399"
"17";"33.796";"-118.329"
"17";"34.336";"-118.499"
"17";"33.955";"-118.439"
"17";"34.186";"-118.469"
"17";"33.925";"-118.619"
"17";"33.866";"-118.509"
"17";"33.906";"-118.469"
"17";"34.216";"-118.628"
"17";"34.036";"-118.408"
"17";"33.925";"-118.869"
"17";"34.135";"-118.649"
"17";"33.925";"-118.579"
"17";"33.936";"-118.548"
"17";"33.925";"-118.359"
"17";"33.815";"-118.339"
"17";"34.046";"-118.488"
"17";"33.826";"-118.339"
"17";"33.546";"-118.259"
"16";"34.126";"-118.419"
"16";"33.925";"-118.559"
"16";"34.286";"-118.488"
"16";"34.135";"-118.419"
"16";"34.116";"-118.408"
"16";"34.025";"-118.419"
"16";"33.966";"-118.738"
"16";"34.196";"-118.609"
"16";"33.966";"-118.658"
"16";"33.906";"-118.708"
"16";"34.476";"-119.089"
"16";"34.296";"-118.499"
"16";"33.815";"-118.359"
"16";"34.196";"-118.548"
"16";"34.406";"-118.669"
"16";"34.036";"-118.488"
"16";"34.036";"-118.458"
"16";"33.986";"-118.449"
"16";"34.156";"-118.469"
"16";"33.855";"-118.539"
"16";"34.146";"-118.408"
"16";"33.955";"-118.738"
"16";"33.925";"-118.529"
"16";"34.025";"-118.309"
"16";"33.936";"-118.699"
"16";"33.925";"-118.649"
"16";"34.146";"-118.419"
"16";"33.896";"-118.389"
"16";"33.896";"-118.359"
"16";"34.296";"-118.639"
"16";"34.286";"-118.639"
"16";"33.896";"-118.369"
"16";"33.556";"-118.229"
"15";"33.705";"-118.268"
"15";"33.925";"-118.848"
"15";"33.916";"-118.359"
"15";"34.146";"-118.469"
"15";"33.916";"-118.369"
"15";"34.196";"-118.569"
"15";"33.885";"-118.348"
"15";"33.925";"-118.878"
"15";"33.855";"-118.569"
"15";"33.705";"-118.309"
"15";"34.135";"-118.429"
"15";"34.116";"-118.469"
"15";"33.906";"-118.518"
"15";"34.025";"-118.488"
"15";"33.906";"-118.458"
"15";"34.016";"-118.539"
"15";"33.876";"-118.369"
"15";"33.906";"-118.559"
"15";"34.116";"-118.419"
"15";"33.855";"-118.579"
"15";"33.866";"-118.348"
"15";"33.866";"-118.569"
"15";"33.925";"-118.889"
"15";"34.135";"-118.439"
"15";"33.885";"-118.488"
"15";"33.936";"-118.689"
"15";"34.466";"-119.079"
"15";"34.266";"-118.408"
"14";"33.966";"-118.449"
"14";"34.146";"-118.439"
"14";"33.946";"-118.199"
"14";"34.366";"-118.658"
"14";"33.946";"-118.619"
"14";"34.376";"-118.658"
"14";"34.105";"-118.469"
